; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496838955,"CurrentTimeLocal","Wed Jun  7 14:35:55 2017","Hostname","c01n02"
; "Time_ContextCreate [ms]", 0.000143
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000437,0.062394,0.059623,0.133413,0.52006,0.460055,0.151218,0.004368,1.391968,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000512,0.062519,0.059393,0.136577,0.513496,0.462813,0.151122,0.004206,1.391051,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000514,0.066537,0.059475,0.142992,0.498893,0.464429,0.151542,0.00423,1.389014,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000506,0.06216,0.060027,0.143292,0.504319,0.460204,0.15455,0.003916,1.389373,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000485,0.062036,0.059631,0.140282,0.497441,0.459984,0.152485,0.003982,1.376724,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000502,0.062159,0.059041,0.136767,0.498682,0.462842,0.151926,0.004278,1.37661,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000532,0.06593,0.059093,0.137559,0.496739,0.464102,0.150735,0.00406,1.379147,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000524,0.061803,0.059147,0.135651,0.510178,0.460343,0.154045,0.003871,1.385961,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.005013,0.786919,0.758963,10.873388,11.25725,11.04627,2.216745,6.026132,42.971934,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.005494,0.78636,0.750405,11.061735,11.058164,10.976726,2.194753,6.047708,42.882456,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.005566,0.790633,0.756671,11.070366,11.179484,10.946612,2.20447,6.051898,43.007131,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.004498,0.791254,0.756103,11.042822,10.997037,11.128448,2.210813,6.068026,42.999928,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.005543,0.789166,0.743056,11.054147,10.865642,10.99803,2.226969,6.051931,42.735864,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.005433,0.77472,0.755541,11.062218,10.987498,11.214413,2.228641,6.044142,43.074005,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.005643,0.77834,0.750099,11.063355,11.14168,11.134826,2.216562,6.055479,43.147068,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.005528,0.785723,0.746495,11.027712,11.2264,11.216949,2.205961,6.076063,43.29216,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.005052,0.792006,0.756202,11.120476,11.008875,11.543505,2.215248,6.023411,43.466212,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.005257,0.777501,0.745727,11.039246,11.196468,10.982125,2.220488,6.026984,42.995038,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.005429,0.77886,0.746048,11.065882,10.93933,11.005616,2.216657,6.043862,42.803179,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.005181,0.787672,0.756092,11.062675,10.973555,11.122921,2.215217,6.040201,42.964794,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000335,0.002042,0.000734,0.000127,9.5e-05,0.000113,4.5e-05,0.000802,0.004617,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000324,0.002073,0.000733,0.000129,9.8e-05,0.000114,5.3e-05,0.000798,0.004649,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000353,0.001856,0.000746,0.000134,0.000101,0.000113,5e-05,0.000839,0.004501,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000339,0.002046,0.000738,0.00013,0.000101,0.000109,5.6e-05,0.000786,0.004632,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000332,0.002097,0.000741,0.000129,9.8e-05,0.000113,4.5e-05,0.000812,0.004701,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000332,0.002041,0.000731,0.000134,0.000101,0.000114,5.7e-05,0.000798,0.004626,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000346,0.001856,0.00077,0.000132,9.9e-05,0.000114,4.3e-05,0.000821,0.00449,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000342,0.002064,0.000747,0.000133,0.000102,0.000114,5.3e-05,0.000796,0.004664,32,0,32
