; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496840385,"CurrentTimeLocal","Wed Jun  7 14:59:45 2017","Hostname","c01n12"
; "Time_ContextCreate [ms]", 0.000156
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.005417,0.777126,0.74353,10.850008,11.02466,10.991679,2.095219,5.989806,42.478325,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.004572,0.775614,0.752197,10.849129,10.704153,10.811628,2.094073,5.983335,41.975755,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000258,0.001431,0.000708,7.7e-05,5.6e-05,9.9e-05,4.2e-05,0.000817,0.003812,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000258,0.001495,0.000722,7.2e-05,5.8e-05,0.000106,4.4e-05,0.000836,0.003913,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000261,0.001441,0.000694,7.4e-05,5.6e-05,9.8e-05,4.1e-05,0.000848,0.003825,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.00026,0.001488,0.000716,7.4e-05,5.5e-05,9.9e-05,6.9e-05,0.000836,0.003919,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000271,0.001436,0.000716,7.1e-05,5.6e-05,9.4e-05,4.2e-05,0.000837,0.003837,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000261,0.00148,0.000732,7.2e-05,5.5e-05,0.000104,4.2e-05,0.000848,0.003906,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000253,0.001435,0.000727,7.3e-05,6.3e-05,9.4e-05,4.1e-05,0.000829,0.003831,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.00026,0.001481,0.000723,7.5e-05,5.4e-05,9.8e-05,4.2e-05,0.000833,0.003885,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.00028,0.001667,0.000732,0.000112,5.7e-05,0.000122,4.2e-05,0.000847,0.004174,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.00027,0.001491,0.00073,0.00011,6.1e-05,0.000105,4.2e-05,0.000856,0.003963,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000265,0.001447,0.000725,0.000113,5.6e-05,9.6e-05,4.2e-05,0.000861,0.003911,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000262,0.001498,0.000716,0.000114,5.6e-05,0.000104,4.1e-05,0.000858,0.00396,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000479,0.002628,0.000845,0.000175,0.000346,0.000199,0.000152,0.002122,0.007435,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000484,0.001925,0.000751,0.000153,0.000108,0.000115,8.6e-05,0.001,0.004968,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000466,0.001773,0.000757,0.000124,0.000111,9.9e-05,8.9e-05,0.000943,0.004701,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000425,0.001759,0.000761,0.000129,0.000108,9.9e-05,8.6e-05,0.000947,0.004639,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000459,0.001675,0.000759,0.000129,0.000105,9.4e-05,8.7e-05,0.000937,0.004565,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000461,0.001692,0.000761,0.000128,0.000103,9.6e-05,8.7e-05,0.000951,0.004599,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000467,0.001673,0.000758,0.000127,0.000107,9.1e-05,8.4e-05,0.00093,0.004559,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000476,0.001944,0.000749,0.000136,0.000124,0.000128,4.7e-05,0.000911,0.004842,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000466,0.001785,0.000735,0.000134,0.00012,9e-05,5e-05,0.00091,0.004615,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000453,0.001677,0.000732,0.000129,0.000108,8.4e-05,4.7e-05,0.000901,0.004458,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.00046,0.001615,0.000751,0.00013,0.000101,7.8e-05,5e-05,0.000901,0.004408,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000477,0.001653,0.000739,0.000125,0.000102,8.3e-05,4.9e-05,0.000908,0.004462,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.00059,0.002709,0.000801,0.000157,0.156834,0.000287,0.000192,0.001588,0.163612,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.00051,0.002669,0.000781,0.000171,0.000249,0.00011,8.3e-05,0.000935,0.005893,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000471,0.00176,0.00073,0.000155,0.000159,0.000103,5e-05,0.000901,0.004666,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000471,0.001714,0.000766,0.0001,0.000124,0.000116,5e-05,0.000882,0.004578,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000456,0.001586,0.000735,0.000101,0.000139,0.000114,5.1e-05,0.00087,0.004393,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000454,0.001654,0.000768,9.6e-05,0.00014,0.000102,4.9e-05,0.000889,0.004494,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000457,0.001648,0.000783,9.8e-05,0.000137,8.4e-05,5e-05,0.000896,0.004497,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000522,0.002018,0.00073,9.8e-05,0.00015,0.000102,5.3e-05,0.000902,0.004923,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000499,0.001785,0.000753,0.000103,0.00015,8.3e-05,5e-05,0.000876,0.004639,128,0,128
