; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_ESTIMATE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000331
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,"Success",0.21006,0.000399,12.5726,0.009518,0.131712,0.062123,0.005786,0.054561,12.8381,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,"Success",0.238403,0.000374,12.5903,0.006779,0.152046,0.073502,0.005301,0.057936,12.8876,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,"Success",0.247095,0.000372,12.5915,0.004002,0.140671,0.095528,0.006117,0.055312,12.8947,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,"Success",0.223582,0.000367,12.5915,0.010853,0.140759,0.065657,0.00551,0.053647,12.8696,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,0,"Success",0.327995,0.00039,6.50901,0.02038,0.180479,0.105357,0.021089,0.096084,6.93415,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,1,"Success",0.350153,0.000392,6.53646,0.022374,0.206437,0.101774,0.01886,0.093292,6.9808,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,2,"Success",0.312935,0.0004,6.54631,0.019418,0.168749,0.103896,0.020207,0.092406,6.95256,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,3,"Success",0.383554,0.000397,6.52801,0.019589,0.197154,0.14467,0.021315,0.093816,7.00653,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,4,"Success",0.336899,0.000385,6.53284,0.017588,0.189,0.110172,0.019279,0.09788,6.96864,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,"Success",1.41833,0.000425,39.2004,0.125602,0.465499,0.633881,0.191636,0.094718,40.7144,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,"Success",1.83344,0.000461,39.8888,0.126744,0.80447,0.716802,0.184191,0.099157,41.8225,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,"Success",1.88966,0.000391,38.9149,0.126833,0.83782,0.735251,0.1878,0.094007,40.8996,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,"Success",1.82499,0.00041,38.9728,0.126051,0.796584,0.718941,0.181718,0.098393,40.8974,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,"Success",1.89403,0.000426,39.2115,0.128919,0.824626,0.753075,0.186197,0.096391,41.2028,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,"Success",25.9334,0.000764,70.0631,2.0045,12.512,8.42188,2.99432,0.139583,96.1374,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,"Success",19.9105,0.000843,72.614,1.80276,7.99539,7.3688,2.74267,0.119989,92.6458,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,"Success",22.7824,0.00077,72.1621,1.80327,10.1077,8.157,2.71368,0.121149,95.0669,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,"Success",29.6068,0.000951,73.1913,1.80471,14.4158,10.6476,2.73773,0.121196,102.921,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,"Success",21.0552,0.000719,72.6008,1.80785,8.65924,7.84992,2.73709,0.122291,93.7795,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,"Success",606.462,0.003691,93.8913,197.128,182.483,186.96,39.8895,15.4688,715.826,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,"Success",608.844,0.003495,96.3882,197.078,187.646,181.351,42.7661,15.5004,720.736,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,"Success",619.331,0.003829,93.895,197.063,192.585,190.28,39.401,15.5004,728.731,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,"Success",612.994,0.003611,93.6588,196.785,188.751,186.006,41.4491,15.4854,722.143,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,"Success",606.765,0.003709,93.5222,196.342,187.652,183.515,39.2525,15.4851,715.776,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,"Success",0.064942,0.000244,0.335413,0.000227,0.032751,0.030435,0.000178,0.015579,0.416939,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,"Success",0.064024,0.000271,0.334376,0.000233,0.032588,0.029746,0.000363,0.017715,0.417315,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,"Success",0.064296,0.000244,0.343298,0.000227,0.033182,0.02932,0.00026,0.018135,0.426586,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,"Success",0.065847,0.000261,0.331494,0.000229,0.031052,0.033343,0.000273,0.018259,0.416653,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,"Success",0.062707,0.000232,0.352355,0.000202,0.032616,0.028348,0.000275,0.018863,0.434885,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,"Success",0.054485,0.000256,0.441789,0.000209,0.028722,0.024347,0.000406,0.02425,0.521539,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,"Success",0.054031,0.000264,0.447741,0.000204,0.027376,0.02514,0.000194,0.02232,0.525049,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,"Success",0.05025,0.000212,0.452409,0.00021,0.025727,0.02321,0.000162,0.023071,0.526666,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,"Success",0.051722,0.000225,0.447803,0.000217,0.027222,0.022933,0.000166,0.021239,0.521574,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,"Success",0.058448,0.000243,0.437847,0.000207,0.027018,0.030145,0.000242,0.024115,0.521396,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,"Success",0.048386,0.000207,0.527079,0.000206,0.024826,0.022026,0.000368,0.025917,0.60231,256,0,256,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,"Success",0.052404,0.000215,0.527473,0.000214,0.026364,0.02457,0.000276,0.026909,0.607719,256,0,256,2
