; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496259892,"CurrentTimeLocal","Wed May 31 21:44:52 2017","Hostname","r02n13"
; "Time_ContextCreate [ms]", 0.00035
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.000501,3816.356024,3625.047267,3.303435,8.190623,7.653609,2.858338,0.310372,7463.721413,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.00053,4028.521557,3667.378878,3.214302,8.337821,7.782646,2.761467,0.27172,7718.270122,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.000498,3777.967656,3669.202677,2.471866,8.233435,7.790468,2.713006,0.22581,7468.606574,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.000439,3867.001781,3419.384406,2.422968,8.313753,7.816343,2.723772,0.208716,7307.873438,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.000435,3728.285469,3665.936029,2.505832,8.424093,7.839798,2.829878,0.260724,7416.083291,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.000447,3715.533802,3605.021498,2.497007,8.279765,7.750941,2.772339,0.228602,7342.085543,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.000411,3722.276694,4157.837098,3.289302,8.679994,8.249427,2.77298,0.301125,7903.408355,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.000621,3769.772254,3814.528503,3.240079,8.546879,8.120708,2.860475,0.272311,7607.343053,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.000591,3939.657227,3613.425846,3.10683,8.169825,7.812027,2.680672,0.286481,7575.140629,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.000358,3696.960577,3432.133528,3.103244,8.549573,8.001816,2.761361,0.282419,7151.793792,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.000424,3739.994333,3488.016837,3.118656,8.42009,8.024305,2.728817,0.280866,7250.586125,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000201,1.225351,1.192931,0.000114,0.000127,7.3e-05,7.1e-05,0.000702,2.420088,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000249,1.201126,1.175699,0.000117,0.000135,6.8e-05,6.7e-05,0.000676,2.378713,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.00022,1.19977,1.205534,0.000116,9.8e-05,8.9e-05,7.7e-05,0.00078,2.407159,32,0,32
