; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497002542,"CurrentTimeLocal","Fri Jun  9 12:02:22 2017","Hostname","r02n04"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 7.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000538,0.043955,0.033612,0.000129,0.000441,0.000325,0.000144,0.001287,0.081003,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000471,0.043904,0.034001,0.000166,0.003048,0.000347,0.000153,0.001289,0.083904,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000451,0.043655,0.033516,0.00019,0.000425,0.000333,0.000151,0.001229,0.08053,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000458,0.044198,0.033383,0.000152,0.000443,0.000335,0.00012,0.001258,0.08089,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000451,0.043359,0.033276,0.000175,0.000418,0.000344,0.00014,0.001271,0.079972,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000453,0.04756,0.039197,0.000169,0.000412,0.000331,0.000147,0.001327,0.09017,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.00042,0.044409,0.033832,0.000162,0.00042,0.000335,0.000147,0.001195,0.081452,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"fftw forward plan could not be created as wisdom is not available for this problem.",0.000908,0,0,0,0,0,0,0,0,128,0,128
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"fftw forward plan could not be created as wisdom is not available for this problem.",0.000642,0,0,0,0,0,0,0,0,256,0,256
