; "ClFFT Informations","Device","Tesla M2090","Hardware","OpenCL 1.1 CUDA","Software","352.79","OpenCL","OpenCL C 1.1 ","ComputeUnits","16"
; "Time_ContextCreate [ms]", 259.591
; "Time_ContextDestroy [ms]", 3.37518
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Outplace,Complex,float,2,3,16,25,0,0,0.364226,0.002667,1.7062,0.215462,0.077672,0.046968,0.023426,0.20112,2.27496,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,1,0.361519,0.002621,1.70204,0.213562,0.077202,0.046414,0.023622,0.198528,2.26549,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,2,0.360277,0.002736,1.70675,0.212378,0.077309,0.046349,0.023542,0.200521,2.27102,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,3,0.362429,0.002484,1.69328,0.213484,0.077543,0.046784,0.023941,0.202133,2.26109,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,4,0.361297,0.002619,1.70132,0.213432,0.076632,0.046912,0.023623,0.201264,2.26724,6400,3200
ClFFT,Outplace,Complex,float,3,3,27,25,49,0,0.597093,0.002839,2.21886,0.337932,0.083617,0.049534,0.125325,0.199655,3.01926,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,1,0.592071,0.002697,2.22061,0.332124,0.083304,0.049819,0.126124,0.287134,3.10335,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,2,0.605263,0.002854,2.22189,0.343324,0.086456,0.049279,0.125539,0.200546,3.03137,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,3,0.593208,0.002724,2.21863,0.332506,0.083984,0.049395,0.126664,0.198669,3.01405,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,4,0.599624,0.002707,2.22133,0.333038,0.084062,0.049425,0.13238,0.199482,3.02396,529200,10584
ClFFT,Outplace,Real,float,1,1,1024,0,0,0,4.25092,0.002685,3.72481,0.221141,0.065569,0.053893,0.024313,0.179215,8.15838,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,1,4.25198,0.002771,3.72434,0.214441,0.065452,0.053215,0.023769,0.185055,8.16486,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,2,4.23732,0.002809,3.73008,0.214446,0.06553,0.053123,0.023924,0.179261,8.15014,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,3,4.25715,0.002752,3.73804,0.214155,0.065338,0.053293,0.024151,0.178899,8.17756,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,4,4.24123,0.002736,3.73299,0.213995,0.066059,0.053304,0.023725,0.17891,8.15657,12288,0
ClFFT,Outplace,Real,float,3,2,32,32,32,0,3.27658,0.002656,2.58913,0.276117,0.087117,0.095758,0.077164,0.210461,6.07955,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,1,3.28046,0.002589,2.57411,0.283089,0.087863,0.10269,0.076898,0.210719,6.0687,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,2,3.27911,0.002806,2.59443,0.276337,0.086918,0.095738,0.075935,0.209142,6.08623,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,3,3.28264,0.002846,2.59137,0.281116,0.087763,0.097021,0.077708,0.211872,6.08943,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,4,3.28862,0.002507,2.58648,0.275765,0.087277,0.095178,0.076889,0.21022,6.08854,393216,4352
ClFFT,Outplace,Real,float,2,3,16,25,0,0,2.03603,0.00285,1.57437,0.212993,0.067441,0.068671,0.022956,0.196956,3.81089,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,1,2.06144,0.002952,1.57986,0.212966,0.099613,0.068906,0.022965,0.195743,3.84075,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,2,2.02957,0.002904,1.5637,0.212289,0.066649,0.06869,0.023374,0.195301,3.79224,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,3,2.02497,0.002873,1.56563,0.212378,0.065685,0.069082,0.02326,0.196172,3.7904,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,4,2.02495,0.002543,1.56867,0.211359,0.072434,0.068131,0.023011,0.196075,3.79298,4800,1800
ClFFT,Outplace,Real,float,3,3,27,25,49,0,3.03601,0.002821,2.21681,0.277893,0.286716,0.089973,0.077149,0.345806,5.60233,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,1,3.04454,0.003014,2.22069,0.284327,0.282492,0.089536,0.077956,0.35236,5.62147,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,2,3.04313,0.002685,2.22596,0.275761,0.280482,0.08958,0.084087,0.341936,5.61454,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,3,3.04434,0.003002,2.20938,0.277345,0.281303,0.089774,0.07704,0.347662,5.60525,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,4,3.03357,0.002714,2.21294,0.277061,0.284956,0.090073,0.078369,0.344531,5.59459,396900,5488
