; "Tesla M2090", "CC", 2.0, "Multiprocessors", 16, "Memory [MiB]", 5375, "MemoryFree [MiB]", 5309, "MemClock [MHz]", 1848, "GPUClock [MHz]", 1301, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.7945
; "Time_ContextDestroy [ms]", 41.0713
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Outplace,Complex,double,3,2,32,32,32,1,0.651168,0.236459,2.83821,0.240032,0.062784,0.052576,0.238176,0.370729,4.12198,1.04858e+06,524288
CuFFT,Outplace,Complex,double,3,2,32,32,32,2,0.660864,0.22566,2.8508,0.24016,0.062816,0.05264,0.247648,0.36201,4.11943,1.04858e+06,524288
CuFFT,Outplace,Complex,double,3,2,32,32,32,3,0.658176,0.231911,2.83621,0.248224,0.062528,0.052224,0.237664,0.363146,4.10967,1.04858e+06,524288
CuFFT,Outplace,Complex,double,3,2,32,32,32,4,0.655264,0.225906,2.84906,0.238048,0.06256,0.052704,0.244416,0.362077,4.11226,1.04858e+06,524288
CuFFT,Outplace,Complex,double,2,3,16,25,0,0,0.185984,0.235132,2.52431,0.016704,0.050368,0.039744,0.022816,0.201536,3.16572,12800,6400
CuFFT,Outplace,Complex,double,2,3,16,25,0,1,0.1864,0.236152,2.51457,0.016544,0.050432,0.04032,0.022496,0.209197,3.1652,12800,6400
CuFFT,Outplace,Complex,double,2,3,16,25,0,2,0.195776,0.233338,2.51741,0.0168,0.050368,0.040352,0.031872,0.208811,3.17437,12800,6400
CuFFT,Outplace,Complex,double,2,3,16,25,0,3,0.187872,0.229031,2.52317,0.016608,0.050464,0.041248,0.022784,0.202098,3.16114,12800,6400
CuFFT,Outplace,Complex,double,2,3,16,25,0,4,0.185664,0.229472,2.55721,0.016896,0.050272,0.039776,0.022368,0.201727,3.193,12800,6400
CuFFT,Outplace,Complex,double,3,3,27,25,49,0,0.73232,0.42899,2.76485,0.24624,0.09728,0.085472,0.245312,0.525968,4.47225,1.0584e+06,529200
CuFFT,Outplace,Complex,double,3,3,27,25,49,1,0.731456,0.440243,2.74747,0.250528,0.09808,0.085216,0.239648,0.53392,4.47354,1.0584e+06,529200
CuFFT,Outplace,Complex,double,3,3,27,25,49,2,0.731264,0.429804,2.75379,0.24544,0.097632,0.085536,0.244768,0.522606,4.45771,1.0584e+06,529200
CuFFT,Outplace,Complex,double,3,3,27,25,49,3,0.73296,0.438035,2.75039,0.252896,0.09776,0.085312,0.2392,0.530378,4.47196,1.0584e+06,529200
CuFFT,Outplace,Complex,double,3,3,27,25,49,4,0.732544,0.4313,2.74977,0.244352,0.097728,0.08576,0.246592,0.523621,4.45746,1.0584e+06,529200
CuFFT,Outplace,Real,double,1,1,1024,0,0,0,2.70266,0.2252,2.50404,0.01792,0.039808,0.0416,0.024544,0.198137,5.64757,24576,8192
CuFFT,Outplace,Real,double,1,1,1024,0,0,1,2.71101,0.225296,2.50036,0.017888,0.039392,0.041472,0.025152,0.198244,5.65381,24576,8192
