; "ClFFT Informations","Device","Tesla M2090","Hardware","OpenCL 1.1 CUDA","Software","352.79","OpenCL","OpenCL C 1.1 ","ComputeUnits","16"
; "Time_ContextCreate [ms]", 61.8571
; "Time_ContextDestroy [ms]", 3.35214
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Outplace,Complex,double,2,3,16,25,0,1,0.169486,0.00264,1.59183,0.024966,0.072547,0.047254,0.024103,0.048606,1.81325,12800,6400
ClFFT,Outplace,Complex,double,2,3,16,25,0,2,0.168701,0.002555,1.57953,0.024562,0.071933,0.047504,0.024071,0.048129,1.79958,12800,6400
ClFFT,Outplace,Complex,double,2,3,16,25,0,3,0.168731,0.002663,1.58143,0.024519,0.072049,0.047286,0.024294,0.048214,1.80171,12800,6400
ClFFT,Outplace,Complex,double,2,3,16,25,0,4,0.170353,0.00255,1.58366,0.024367,0.073379,0.047729,0.024287,0.048635,1.80587,12800,6400
ClFFT,Outplace,Complex,double,3,3,27,25,49,0,1.20341,0.002795,2.07614,0.450449,0.455011,0.053982,0.243237,0.463406,3.74651,1.0584e+06,21168
ClFFT,Outplace,Complex,double,3,3,27,25,49,1,1.20301,0.00268,2.0697,0.451674,0.45463,0.053832,0.242145,0.464404,3.74055,1.0584e+06,21168
ClFFT,Outplace,Complex,double,3,3,27,25,49,2,1.19334,0.002787,2.07415,0.442422,0.455905,0.054566,0.239736,0.464036,3.73507,1.0584e+06,21168
ClFFT,Outplace,Complex,double,3,3,27,25,49,3,1.1974,0.00254,2.08061,0.445054,0.455549,0.054147,0.241941,0.467352,3.74863,1.0584e+06,21168
ClFFT,Outplace,Complex,double,3,3,27,25,49,4,1.2014,0.002684,2.06459,0.444269,0.462014,0.054252,0.240152,0.466856,3.73627,1.0584e+06,21168
ClFFT,Outplace,Real,double,1,1,1024,0,0,0,3.95395,0.002632,3.58161,0.02613,0.078084,0.072908,0.025342,0.027579,7.56646,24576,0
ClFFT,Outplace,Real,double,1,1,1024,0,0,1,3.94961,0.002563,3.58553,0.026175,0.078534,0.072359,0.025033,0.027567,7.56594,24576,0
ClFFT,Outplace,Real,double,1,1,1024,0,0,2,3.95132,0.002498,3.58471,0.026117,0.078762,0.072808,0.025223,0.027305,7.56652,24576,0
ClFFT,Outplace,Real,double,1,1,1024,0,0,3,3.95807,0.002346,3.58498,0.02574,0.077806,0.073097,0.025376,0.027409,7.57348,24576,0
ClFFT,Outplace,Real,double,1,1,1024,0,0,4,3.95454,0.002422,3.59832,0.025633,0.078752,0.072818,0.023814,0.027701,7.58373,24576,0
ClFFT,Outplace,Real,double,3,2,32,32,32,0,3.45662,0.002915,2.43048,0.339151,0.279969,0.090561,0.132108,0.342816,6.23359,786432,8704
ClFFT,Outplace,Real,double,3,2,32,32,32,1,3.44302,0.002429,2.45809,0.332224,0.27981,0.089612,0.131761,0.347033,6.25133,786432,8704
ClFFT,Outplace,Real,double,3,2,32,32,32,2,3.45258,0.00248,2.43479,0.332459,0.27956,0.095779,0.131844,0.341168,6.23176,786432,8704
ClFFT,Outplace,Real,double,3,2,32,32,32,3,3.45965,0.002822,2.44782,0.333579,0.279632,0.090475,0.131164,0.342049,6.25314,786432,8704
ClFFT,Outplace,Real,double,3,2,32,32,32,4,3.45799,0.002592,2.44988,0.332943,0.28741,0.090492,0.131616,0.348923,6.26014,786432,8704
ClFFT,Outplace,Real,double,2,3,16,25,0,0,1.94135,0.002765,1.48302,0.221778,0.06862,0.068212,0.023965,0.195327,3.62321,9600,3600
ClFFT,Outplace,Real,double,2,3,16,25,0,1,1.93932,0.002841,1.47903,0.212929,0.068643,0.067986,0.023806,0.194642,3.61653,9600,3600
ClFFT,Outplace,Real,double,2,3,16,25,0,2,1.94136,0.002835,1.49642,0.213281,0.069048,0.068155,0.023974,0.195149,3.63656,9600,3600
ClFFT,Outplace,Real,double,2,3,16,25,0,3,1.93115,0.002776,1.49089,0.212384,0.068242,0.068376,0.023583,0.201889,3.62739,9600,3600
ClFFT,Outplace,Real,double,2,3,16,25,0,4,1.94111,0.002743,1.48565,0.211538,0.076017,0.068008,0.023779,0.193156,3.62334,9600,3600
ClFFT,Outplace,Real,double,3,3,27,25,49,0,2.84289,0.002478,2.08449,0.342383,0.093827,0.089151,0.127791,0.219857,5.15051,793800,10976
ClFFT,Outplace,Real,double,3,3,27,25,49,1,2.84082,0.002741,2.09914,0.334899,0.093545,0.090327,0.126987,0.212743,5.15621,793800,10976
ClFFT,Outplace,Real,double,3,3,27,25,49,2,2.83524,0.002677,2.08959,0.339328,0.093169,0.089882,0.127152,0.218883,5.14715,793800,10976
ClFFT,Outplace,Real,double,3,3,27,25,49,3,2.84945,0.002428,2.07948,0.33453,0.092535,0.08989,0.12692,0.214014,5.14613,793800,10976
ClFFT,Outplace,Real,double,3,3,27,25,49,4,2.83905,0.002734,2.08894,0.335222,0.092206,0.090091,0.127501,0.219161,5.15062,793800,10976
