; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11519, "MemoryFree [MiB]", 11430, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 25.5012
; "Time_ContextDestroy [ms]", 150.081
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,4,"Success",1.27068,0.160677,1.03426,0.268,0.292192,0.291584,0.362432,0.348736,2.81504,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,0,"Success",7.26902,0.160488,4.29616,0.810176,2.64902,2.63248,1.12298,0.534268,12.2606,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,1,"Success",7.26213,0.15663,4.2832,0.809408,2.64534,2.632,1.12166,0.534511,12.2371,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,2,"Success",7.26764,0.156161,4.28931,0.814048,2.64387,2.63168,1.12074,0.531742,12.2456,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,3,"Success",7.26487,0.156122,4.3071,0.810496,2.64518,2.63491,1.11853,0.538977,12.2677,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,4,"Success",7.253,0.156351,4.44547,0.80976,2.64218,2.62787,1.11869,0.52962,12.3852,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,0,"Success",27.7077,0.166244,4.6555,3.52182,10.3289,10.3161,3.47546,0.751464,33.2817,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,1,"Success",27.6865,0.169877,4.63417,3.49274,10.3329,10.3101,3.47891,0.742236,33.2336,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,2,"Success",27.9155,0.171968,4.78599,3.61683,10.3347,10.3083,3.5865,0.762301,33.6365,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,3,"Success",27.8492,0.170433,4.80819,3.59379,10.3351,10.3035,3.5513,0.750907,33.5795,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,4,"Success",27.8254,0.167846,4.80695,3.55939,10.3306,10.3116,3.55619,0.745978,33.5469,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,0,"Success",107.748,0.235342,5.10095,14.4581,40.5459,40.4268,12.246,0.891521,113.976,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,1,"Success",107.936,0.223421,5.09959,14.4723,40.4967,40.4231,12.4661,0.866924,114.127,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,2,"Success",108.036,0.232745,5.25285,14.6439,40.5134,40.5611,12.2449,0.901045,114.423,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,3,"Success",107.79,0.223365,5.09673,14.5003,40.542,40.4257,12.2467,0.874042,113.985,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,4,"Success",107.848,0.221794,5.10083,14.4976,40.5212,40.5093,12.245,0.873698,114.046,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:124 cufftGetSize2d(plan, e[0], e[1], FFTType, &s)",0,0,0,0,0,0,0,0,0,5.36871e+08,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,0,"Success",1.26143,0.164528,1.0349,0.284992,0.270528,0.259392,0.389696,0.345185,2.80673,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,1,"Success",1.25765,0.160792,1.0351,0.285312,0.268992,0.261376,0.38496,0.350607,2.80484,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,2,"Success",1.25726,0.161836,1.03512,0.285056,0.269088,0.25952,0.386368,0.345424,2.80032,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,3,"Success",1.25871,0.160402,1.03461,0.28448,0.269024,0.259456,0.38944,0.344962,2.79928,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,4,"Success",1.25599,0.160537,1.03461,0.284704,0.268768,0.259744,0.386208,0.360348,2.8121,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,0,"Success",8.0113,0.183358,1.05948,1.56573,2.14906,2.13686,2.09965,0.359852,9.61466,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,1,"Success",8.04298,0.19096,1.05883,1.56333,2.15427,2.13667,2.12586,0.357009,9.65047,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,2,"Success",8.03748,0.187263,1.05802,1.56096,2.14928,2.13309,2.12989,0.35937,9.64288,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,3,"Success",8.04222,0.190161,1.05742,1.56317,2.14877,2.13341,2.13354,0.360512,9.65107,1.65141e+07,1.65141e+07,1.65141e+07
