; "ClFFT Informations","Device","Tesla K80","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","13","clFFT","2.12.1"
; "Time_ContextCreate [ms]", 861.308
; "Time_ContextDestroy [ms]", 68.547
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
"ClFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,2,"Success",2.52305,0.002161,9.48413,0.538921,0.800842,0.661763,0.520991,0.438372,12.4483,2.09715e+06,2.09715e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,3,"Success",2.46912,0.001737,9.46916,0.524577,0.792757,0.653855,0.497453,0.429917,12.3705,2.09715e+06,2.09715e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,4,"Success",2.44749,0.001984,9.45286,0.517375,0.7952,0.662706,0.471699,0.425119,12.328,2.09715e+06,2.09715e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,0,"Success",8.71869,0.001576,6.4543,1.3782,3.08212,2.9334,1.32447,0.430576,15.6057,8.38861e+06,8.9129e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,1,"Success",8.71058,0.001699,6.42488,1.37297,3.08907,2.94915,1.2989,0.418197,15.5559,8.38861e+06,8.9129e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,2,"Success",8.69835,0.001589,6.40888,1.37178,3.07841,2.94303,1.30467,0.416921,15.5263,8.38861e+06,8.9129e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,3,"Success",8.68708,0.001523,6.41064,1.36862,3.08566,2.93555,1.29678,0.423438,15.5232,8.38861e+06,8.9129e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,4,"Success",8.67115,0.001634,6.402,1.37001,3.07538,2.92769,1.29762,0.415864,15.4912,8.38861e+06,8.9129e+06
"ClFFT","Inplace","Complex","float",1,"powerof2",2097152,0,0,0,"Success",17.1105,0.001582,7.74228,2.54944,6.11467,5.99581,2.45011,0.428783,25.2837,1.67772e+07,1.78258e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",2097152,0,0,1,"Success",17.1149,0.001601,7.7453,2.55886,6.10956,5.99744,2.44855,0.432835,25.2951,1.67772e+07,1.78258e+07
