; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.006519,0.085213,0.06095,217.32054,112.741387,112.470994,45.795642,32.684466,521.168113,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.006107,0.085277,0.060914,217.251978,111.826358,112.868768,45.8798,32.67087,520.652041,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.0064,0.086224,0.058026,217.143916,112.067864,112.81005,45.830033,32.665616,520.670077,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.00614,0.084071,0.059813,217.099603,111.755795,112.664884,45.817894,32.666365,520.157015,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.005904,0.084413,0.06022,217.229794,111.98681,112.410764,45.82226,32.658593,520.260907,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.00667,0.083729,0.05977,217.232698,111.749579,112.528359,45.812439,32.674016,520.1494,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.00653,0.084757,0.060203,217.232491,112.035673,113.080814,45.804746,32.679636,520.987128,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000467,0.001587,0.000736,0.000183,0.000166,0.000178,4.6e-05,0.00083,0.004519,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000423,0.001566,0.000735,0.000185,0.00017,0.00018,7.6e-05,0.000824,0.004477,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000424,0.001561,0.000767,0.000178,0.000169,0.000176,4.9e-05,0.000817,0.00446,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000423,0.001576,0.000733,0.000183,0.000168,0.000174,4.6e-05,0.000823,0.004449,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000423,0.001568,0.000724,0.000181,0.000168,0.000181,4.6e-05,0.000832,0.004449,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000422,0.001582,0.000742,0.000184,0.000167,0.000175,4.8e-05,0.000828,0.004469,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000421,0.00157,0.000758,0.000181,0.000165,0.000184,4.8e-05,0.000838,0.004492,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000426,0.001579,0.000733,0.000181,0.000166,0.000169,4.9e-05,0.000835,0.004456,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000424,0.001575,0.000742,0.000181,0.000168,0.000176,4.9e-05,0.000835,0.004467,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000423,0.001576,0.000733,0.000181,0.000168,0.000177,4.9e-05,0.000831,0.004462,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.00042,0.00159,0.000744,0.000182,0.000168,0.000172,4.9e-05,0.00082,0.004462,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000429,0.00157,0.000788,0.000182,0.000168,0.000176,4.7e-05,0.000829,0.004509,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000676,0.676436,0.006098,0.00027,1.034769,0.460606,0.000255,0.004698,2.184277,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000695,0.006087,0.003649,0.000166,0.01618,0.012761,0.000161,0.004163,0.044254,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000632,0.005341,0.002186,0.00015,0.015771,0.012426,0.000152,0.003991,0.040988,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000577,0.005083,0.002166,0.000157,0.015259,0.011634,0.000156,0.004585,0.039943,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000608,0.005268,0.00237,0.000157,0.015169,0.012179,0.000156,0.004571,0.040803,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000625,0.005311,0.002158,0.000156,0.014743,0.01241,0.00016,0.005236,0.041113,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000617,0.005208,0.002212,0.000158,0.01471,0.012951,0.000161,0.005081,0.041403,128,0,128
