; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007532,"CurrentTimeLocal","Fri Jun  9 13:25:32 2017","Hostname","r02n01"
; "Time_ContextCreate [ms]", 0.000397
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.00071,0.00399,0.001913,0.000246,0.000254,0.000243,0.00012,0.002146,0.01035,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000737,0.004097,0.00186,0.000243,0.000253,0.00023,0.00012,0.002164,0.010426,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.00078,0.00401,0.001843,0.00025,0.000257,0.00025,0.000123,0.002177,0.01042,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000764,0.00402,0.00185,0.00025,0.00026,0.000234,0.000133,0.002136,0.010377,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.001212,0.006651,0.001816,0.000405,0.340936,0.00073,0.00038,0.004254,0.357346,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.0011,0.006673,0.013546,0.00042,0.000464,0.000287,0.000103,0.002144,0.02564,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.00123,0.005903,0.001763,0.000406,0.000397,0.00033,8e-05,0.002067,0.012923,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.00074,0.004173,0.001814,0.000283,0.000203,0.000253,8e-05,0.002183,0.010464,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000891,0.003797,0.001731,0.000266,0.0002,0.000254,7.4e-05,0.001984,0.00988,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000753,0.003935,0.001723,0.00024,0.000207,0.00025,7.5e-05,0.002,0.009854,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.00072,0.003834,0.001707,0.000243,0.000193,0.00024,7.4e-05,0.00203,0.009694,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000706,0.0038,0.001651,0.000235,0.000197,0.000227,7.2e-05,0.002043,0.009589,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000747,0.003877,0.001699,0.00024,0.0002,0.000237,6.7e-05,0.001957,0.009691,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000755,0.003715,0.001669,0.000251,0.000198,0.000229,7.2e-05,0.002003,0.009552,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.001117,0.005663,0.001685,0.000371,0.000373,0.000245,6.9e-05,0.002016,0.012208,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000762,0.004034,0.001699,0.000248,0.000192,0.00024,6.7e-05,0.001965,0.009891,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.009683,0.008092,0.002304,0.000472,0.000967,0.249964,0.000428,0.004327,0.277125,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.001245,0.007502,0.002216,0.000509,0.000645,0.000461,0.000163,0.002271,0.015806,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000689,0.004496,0.002206,0.00027,0.000275,0.000272,0.000197,0.002213,0.011322,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000855,0.004344,0.002188,0.000264,0.000265,0.00027,0.000135,0.002178,0.011189,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000725,0.004152,0.002155,0.000261,0.000258,0.000264,0.000135,0.002216,0.010835,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000709,0.004203,0.002171,0.000259,0.000258,0.000275,0.000128,0.002248,0.010914,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000751,0.004317,0.002184,0.000261,0.000264,0.000261,0.000325,0.002256,0.020832,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.001091,0.006035,0.002154,0.000336,0.000503,0.000357,0.000128,0.002162,0.013419,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000753,0.004272,0.002174,0.00026,0.000253,0.000264,0.000128,0.0022,0.010974,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000885,0.004251,0.002194,0.000259,0.000255,0.000275,0.000122,0.002186,0.011109,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000706,0.004077,0.002218,0.000268,0.000269,0.000253,0.000125,0.002223,0.010798,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000725,0.00404,0.002128,0.000263,0.000256,0.000272,0.000131,0.002214,0.010683,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.001211,0.006709,0.002115,0.000453,0.00164,0.318384,0.000491,0.003973,0.335772,512,0,512
