; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014033,"CurrentTimeLocal","Fri Jun  9 15:13:53 2017","Hostname","c02n10"
; "Time_ContextCreate [ms]", 0.000159
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.006425,0.086726,0.057144,207.380013,114.079117,117.123964,46.847715,23.555028,509.137734,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.007135,0.084385,0.058431,207.162462,112.647232,111.985531,46.78711,23.561888,502.295826,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.0066,0.087007,0.058751,207.304682,112.605649,112.580033,46.7852,23.573618,503.00322,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.006436,0.085983,0.057928,207.085769,112.613893,112.192679,46.842094,23.570252,502.45693,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.006747,0.086055,0.057264,207.249506,112.373678,112.086717,46.779327,23.58045,502.221506,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.00614,0.091002,0.059218,207.258166,113.351301,111.770194,46.811153,23.572959,502.921764,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.006589,0.087052,0.05725,207.031919,112.862287,112.437393,46.82225,23.570836,502.877275,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.006599,0.086524,0.058077,207.062521,112.724864,112.230864,46.785349,23.5718,502.52847,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000444,0.001781,0.000799,0.000121,0.000236,0.0002,4.4e-05,0.000799,0.004761,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000439,0.001789,0.000797,0.000115,0.000236,0.000198,4.5e-05,0.0008,0.004761,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.00044,0.001761,0.000801,0.000122,0.000233,0.000203,4.3e-05,0.0008,0.004735,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000441,0.001788,0.0008,0.000119,0.000236,0.000189,4.3e-05,0.000802,0.004757,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000451,0.001772,0.000796,0.000119,0.000237,0.000198,4.2e-05,0.000816,0.004772,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.00044,0.001764,0.000805,0.000116,0.000234,0.000188,4.4e-05,0.000797,0.004725,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000441,0.001764,0.000807,0.000119,0.000232,0.000199,4.5e-05,0.000807,0.004759,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000442,0.001783,0.000804,0.00012,0.000235,0.000193,4.6e-05,0.000806,0.00476,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.00044,0.001769,0.000806,0.000115,0.000233,0.0002,4.2e-05,0.000806,0.004755,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000481,0.001969,0.000816,0.000109,0.000255,0.000195,5.9e-05,0.000793,0.00501,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000451,0.001811,0.000793,0.000103,0.000238,0.000202,4.3e-05,0.000805,0.004786,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000471,0.001797,0.000786,0.0001,0.000237,0.000191,4.6e-05,0.000811,0.004771,64,0,64
