; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007535,"CurrentTimeLocal","Fri Jun  9 13:25:35 2017","Hostname","r02n08"
; "Time_ContextCreate [ms]", 0.000327
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.001212,0.625848,0.562974,1.514152,9.895552,9.511848,2.640431,0.014004,24.767218,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.00151,0.762745,0.742337,2.154592,8.627007,8.185472,2.665668,0.014883,23.155441,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.00147,0.772361,0.745407,2.179281,7.760145,7.617649,2.629618,0.014509,21.721373,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.001347,0.765422,0.738166,2.171688,7.148334,6.905942,2.595005,0.013953,20.340949,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.0014,0.765139,0.734125,2.167381,6.582803,6.503746,2.56263,0.014061,19.332437,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.001284,0.765493,0.731741,2.17953,6.299318,6.059305,2.476873,0.014225,18.52902,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.000932,0.767388,0.74238,2.186579,5.914031,5.762885,2.467336,0.013577,17.856339,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.001597,0.767941,0.738695,2.179306,5.843401,5.713143,2.469158,0.013669,17.72805,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.000959,0.768199,0.736473,2.181514,5.845476,5.704357,2.467597,0.012934,17.718709,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.001286,0.768613,0.739674,2.181404,5.848801,5.682848,2.472205,0.014186,17.710191,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.001398,0.77617,0.740941,2.167361,5.838189,5.70481,2.47474,0.014372,17.719167,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.001248,0.768299,0.741519,2.176297,5.843076,5.700616,2.472817,0.013636,17.718738,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000686,0.00372,0.001857,0.000167,0.000213,0.000277,0.00011,0.00199,0.00978,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00068,0.00357,0.001787,0.000257,0.000293,0.000287,0.000117,0.001993,0.00976,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.0007,0.003584,0.00177,0.000263,0.0003,0.000277,0.000114,0.001976,0.009764,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000683,0.00355,0.001763,0.00026,0.000294,0.000287,0.000116,0.00199,0.009724,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000687,0.00357,0.001777,0.00026,0.000294,0.00028,0.000114,0.001953,0.009723,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000767,0.003754,0.00176,0.000267,0.000297,0.000304,0.000113,0.002007,0.010113,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000697,0.003574,0.001753,0.00026,0.00029,0.000283,0.000114,0.001973,0.009753,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000707,0.003633,0.001766,0.000263,0.0003,0.000294,0.000113,0.00199,0.009827,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.00069,0.003527,0.00185,0.000263,0.00029,0.000284,0.000113,0.001966,0.009737,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000703,0.00355,0.001777,0.00026,0.000294,0.000293,0.00011,0.002003,0.009736,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.00069,0.003526,0.001784,0.000263,0.000293,0.000276,0.000113,0.002024,0.009723,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000693,0.003537,0.001763,0.000259,0.00029,0.000296,0.00011,0.001983,0.00969,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.001043,0.006183,0.001993,0.000464,0.000733,0.00052,0.000324,0.005076,0.017523,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000757,0.00386,0.009413,0.00038,0.000313,0.0003,0.000177,0.002207,0.018147,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000766,0.003986,0.001827,0.000384,0.00026,0.000283,0.000164,0.002156,0.010566,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000753,0.003897,0.00189,0.000386,0.000236,0.000294,0.00017,0.002144,0.0105,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000807,0.00384,0.001806,0.000377,0.00021,0.00029,0.000163,0.002097,0.010333,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000747,0.003837,0.001834,0.00028,0.00021,0.00031,8.7e-05,0.002097,0.010133,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.00082,0.003774,0.001796,0.000256,0.000214,0.000287,8.7e-05,0.002053,0.01001,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000736,0.003763,0.001817,0.000257,0.00021,0.00029,8.3e-05,0.002094,0.009973,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000753,0.003767,0.0018,0.00026,0.00021,0.000283,8.3e-05,0.00209,0.009974,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.00079,0.00388,0.00182,0.00015,0.00022,0.000304,8.6e-05,0.00206,0.010023,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000753,0.003927,0.001867,0.000153,0.000227,0.00028,9e-05,0.002117,0.010127,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.00075,0.00378,0.00185,0.00026,0.000214,0.000287,8.7e-05,0.002093,0.010044,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.001173,0.006404,0.00204,0.000516,0.361174,0.000407,0.0004,0.00338,0.376557,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000867,0.005506,0.001883,0.000213,0.00038,0.00025,0.000104,0.001913,0.011906,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000876,0.003826,0.001834,0.000253,0.000267,0.000263,0.0001,0.00204,0.010204,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000767,0.003797,0.00183,0.000254,0.000267,0.000273,0.0001,0.002047,0.010093,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000783,0.003813,0.001837,0.000257,0.000263,0.00026,0.0001,0.002056,0.010129,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000847,0.004157,0.00187,0.000163,0.00029,0.000346,0.0001,0.002044,0.010593,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000777,0.00399,0.001867,0.000167,0.00027,0.000264,0.0001,0.00207,0.01023,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000777,0.003826,0.001816,0.000254,0.000267,0.000277,0.0001,0.002033,0.010086,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.00079,0.00383,0.001827,0.00025,0.00026,0.000263,0.0001,0.00205,0.01009,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.00078,0.00384,0.001827,0.000257,0.000253,0.000277,0.000103,0.002047,0.010097,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.00078,0.00384,0.001814,0.00025,0.00026,0.000263,0.0001,0.00203,0.010064,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.00077,0.003847,0.001833,0.000254,0.000267,0.000277,0.0001,0.002046,0.01012,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.001112,0.006834,0.002411,0.000664,0.000967,0.295968,0.000583,0.003504,0.313009,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000848,0.005909,0.00224,0.000515,0.000534,0.000371,0.0002,0.002219,0.013579,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000746,0.004234,0.00224,0.000424,0.000405,0.00028,0.000197,0.002261,0.011514,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000744,0.004058,0.002219,0.000411,0.000397,0.000272,0.000192,0.002213,0.011184,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000741,0.004048,0.002237,0.000218,0.000368,0.000286,0.000179,0.002189,0.010922,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000808,0.004141,0.002298,0.000435,0.000405,0.000403,0.000135,0.00228,0.01155,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000752,0.004059,0.00224,0.000213,0.000368,0.00037,0.00012,0.002248,0.011072,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000744,0.004107,0.002205,0.000223,0.000365,0.000274,0.000118,0.002189,0.01088,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000747,0.00408,0.00223,0.000224,0.000363,0.00027,0.000117,0.002152,0.010843,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.00076,0.004002,0.002216,0.000223,0.000373,0.000274,0.000118,0.002155,0.010786,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000749,0.004057,0.002203,0.000224,0.000366,0.000286,0.000118,0.002138,0.010795,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000751,0.004078,0.002208,0.000218,0.000365,0.000267,0.00012,0.002149,0.010821,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.001072,0.005494,0.002178,0.000603,0.001363,0.345496,0.000334,0.003351,0.360774,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000792,0.005697,0.001984,0.000535,0.000588,0.000579,0.00016,0.002168,0.013271,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000763,0.004303,0.001928,0.00043,0.000455,0.000411,0.000203,0.002189,0.011416,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000757,0.004078,0.001955,0.00044,0.000429,0.000392,0.000203,0.002171,0.011149,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000765,0.004109,0.001935,0.000425,0.000443,0.0004,0.000144,0.002203,0.01112,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000861,0.004152,0.001883,0.000352,0.000449,0.000413,0.000134,0.002206,0.011149,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.000759,0.00408,0.00196,0.000208,0.000571,0.000406,0.000173,0.002202,0.011054,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000766,0.004086,0.001928,0.000229,0.000432,0.000393,0.000125,0.002165,0.010784,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.000757,0.004077,0.001888,0.000211,0.000435,0.000403,0.000125,0.002174,0.010733,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000751,0.004069,0.001891,0.000216,0.000448,0.000395,0.000123,0.002171,0.010729,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000754,0.00405,0.001952,0.000211,0.000448,0.000408,0.000125,0.002168,0.010782,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.000755,0.004063,0.001949,0.000211,0.000445,0.000394,0.000131,0.002163,0.010768,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.001144,0.062805,0.015562,0.000573,0.861582,0.569329,0.00066,0.003597,1.516221,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.001163,0.019337,0.01293,0.000517,0.001067,0.013102,0.000264,0.002037,0.051274,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.00103,0.014274,0.011382,0.000408,0.000782,0.000698,0.00025,0.001973,0.031574,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.001055,0.014719,0.01128,0.000368,0.000778,0.000763,0.000188,0.001925,0.031901,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.000814,0.014114,0.011189,0.000387,0.000789,0.000699,0.00019,0.001934,0.030856,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.000757,0.013303,0.010523,0.0004,0.000729,0.000654,0.000187,0.001772,0.029,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.000803,0.013178,0.010597,0.00038,0.000754,0.000623,0.000178,0.001804,0.028988,1024,0,1024
