; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5674, "MemClock [MHz]", 2600, "GPUClock [MHz]", 784, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 12.7537
; "Time_ContextDestroy [ms]", 145.371
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,1,"Success",741.34,0.719554,9695.39,195.425,175.83,175.724,194.228,1.54647,10439,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,2,"Success",740.9,0.672779,9718.89,195.328,175.923,175.801,193.713,1.54779,10462,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,3,"Success",741.186,0.737315,9695.46,195.205,175.82,175.78,194.044,1.55009,10438.9,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,4,"Success",741.184,0.708379,9694.21,195.361,175.725,175.792,193.977,1.55779,10437.7,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:121 cufftGetSize1d(plan, e[0], FFTType, 1, &s)",0,0,0,0,0,0,0,0,0,1.07374e+09,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,0,"Success",2.46945,0.195183,1.09456,0.875616,0.360768,0.343776,0.806784,0.296632,4.05679,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,1,"Success",2.44324,0.178938,1.09182,0.869248,0.351776,0.342976,0.800672,0.310049,4.02502,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,2,"Success",2.4553,0.184487,1.09628,0.8696,0.356672,0.341728,0.804736,0.294988,4.03204,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,3,"Success",2.45443,0.17797,1.09821,0.870464,0.353888,0.34432,0.8056,0.29951,4.03106,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,4,"Success",2.45008,0.178387,1.09186,0.868672,0.354816,0.34368,0.801536,0.299407,4.0207,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,0,"Success",10.8699,0.176699,3.73203,2.85139,2.54358,2.52496,2.85101,0.478744,15.2585,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,1,"Success",10.8793,0.183847,3.6361,2.86,2.53354,2.52429,2.88259,0.490883,15.1912,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,2,"Success",10.8896,0.193034,3.64527,2.84669,2.53942,2.5415,2.88246,0.489108,15.218,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,3,"Success",10.9873,0.176939,3.63002,2.9327,2.54099,2.54362,2.88214,0.764244,15.5615,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",1011,1013,0,4,"Success",10.8913,0.175278,3.62114,2.85222,2.54941,2.5257,2.86707,0.481446,15.1702,8.19314e+06,3.28212e+07,8.19314e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,0,"Success",44.6888,0.198585,4.18774,12.1585,10.573,10.5236,11.317,0.742909,49.8194,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,1,"Success",44.6573,0.206453,4.21143,12.1677,10.5745,10.5313,11.2641,0.761415,49.8379,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,2,"Success",44.6675,0.197542,4.20012,12.1615,10.5937,10.544,11.2493,0.775337,49.8419,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,3,"Success",44.7138,0.204132,4.33061,12.1424,10.6396,10.5532,11.2622,0.773209,50.0232,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",2047,2049,0,4,"Success",44.8088,0.206303,4.18194,12.1796,10.6175,10.5621,11.3222,0.761411,49.9598,3.35544e+07,1.4149e+08,3.35544e+07
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,0,"Success",186.18,0.319636,5.21108,48.823,44.7632,44.7637,47.712,0.850807,192.562,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,1,"Success",185.884,0.309614,5.15332,48.5781,44.7124,44.7012,47.766,0.947376,192.296,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,2,"Success",186.175,0.307874,5.13738,48.7122,44.8228,44.6149,47.9169,0.847118,192.469,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,3,"Success",185.958,0.330654,5.19343,48.631,44.7502,44.6995,47.7558,0.875675,192.359,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",4095,4097,0,4,"Success",186.165,0.31846,5.21403,48.6818,44.8112,44.6565,47.9008,0.85381,192.553,1.34218e+08,5.66094e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:124 cufftGetSize2d(plan, e[0], e[1], FFTType, &s)",0,0,0,0,0,0,0,0,0,5.36871e+08,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",8191,8193,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,0,"Success",2.86994,0.193813,1.12422,0.897216,0.310528,0.291744,0.857312,0.297698,4.48661,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,1,"Success",2.62523,0.178812,1.09454,0.899296,0.29856,0.290784,0.857728,0.296866,4.19643,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,2,"Success",2.73551,0.188609,1.12721,0.898176,0.299456,0.29184,0.858112,0.295974,4.34828,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,3,"Success",2.62603,0.178281,1.09395,0.895232,0.299968,0.291488,0.860672,0.29594,4.19517,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",61,67,69,4,"Success",2.73648,0.187887,1.12127,0.89696,0.301888,0.291424,0.859232,0.296396,4.343,2.25602e+06,2.25602e+06,2.25602e+06
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,0,"Success",16.0899,0.258772,1.14709,5.88835,2.36192,2.33034,5.39731,0.337931,17.8348,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,1,"Success",16.116,0.291138,1.14857,5.90186,2.35677,2.32541,5.40982,0.343916,17.9007,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,2,"Success",16.083,0.291005,1.17911,5.87805,2.36064,2.33107,5.3903,0.341562,17.8958,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,3,"Success",16.0548,0.288312,1.14388,5.85274,2.36019,2.33174,5.38691,0.350382,17.8385,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,127,129,4,"Success",16.1054,0.29609,1.14365,5.88272,2.36224,2.32883,5.40787,0.343833,17.8901,1.65141e+07,1.65141e+07,1.65141e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,255,129,0,"Success",33.1975,0.319232,1.25317,11.9523,4.78854,4.76726,11.1351,0.457313,35.2285,3.31582e+07,3.31582e+07,3.31582e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,255,129,1,"Success",33.1825,0.307252,1.21945,11.9536,4.77155,4.76195,11.3039,0.431774,35.1423,3.31582e+07,3.31582e+07,3.31582e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,255,129,2,"Success",33.0314,0.30846,1.2116,11.9676,4.79674,4.7729,11.1204,0.457097,35.0099,3.31582e+07,3.31582e+07,3.31582e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,255,129,3,"Success",33.0157,0.3128,1.21823,11.9482,4.77856,4.76448,11.1311,0.450212,34.9983,3.31582e+07,3.31582e+07,3.31582e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",126,255,129,4,"Success",33.0019,0.31848,1.21694,11.9265,4.80666,4.76118,11.1195,0.459482,34.9982,3.31582e+07,3.31582e+07,3.31582e+07
"CuFFT","Inplace","Complex","float",3,"oddshape",255,254,259,0,"Success",167.688,0.450492,1.2867,48.701,35.3911,35.4062,47.7431,0.472219,169.898,1.34203e+08,1.34203e+08,1.34203e+08
"CuFFT","Inplace","Complex","float",3,"oddshape",255,254,259,1,"Success",167.812,0.414688,1.26841,48.8506,35.4291,35.3397,47.8065,0.461703,169.958,1.34203e+08,1.34203e+08,1.34203e+08
"CuFFT","Inplace","Complex","float",3,"oddshape",255,254,259,2,"Success",167.649,0.419629,1.29019,48.6727,35.3904,35.396,47.7964,0.490288,169.851,1.34203e+08,1.34203e+08,1.34203e+08
"CuFFT","Inplace","Complex","float",3,"oddshape",255,254,259,3,"Success",167.83,0.439839,1.27962,48.7544,35.4026,35.3374,47.9507,0.469091,170.02,1.34203e+08,1.34203e+08,1.34203e+08
"CuFFT","Inplace","Complex","float",3,"oddshape",255,254,259,4,"Success",167.571,0.443073,1.27374,48.4828,35.454,35.3869,47.8654,0.471223,169.761,1.34203e+08,1.34203e+08,1.34203e+08
"CuFFT","Inplace","Complex","float",3,"oddshape",511,513,509,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:127 cufftGetSize3d(plan, e[0], e[1], e[2], FFTType, &s)",0,0,0,0,0,0,0,0,0,1.06745e+09,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",511,513,509,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
