; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 971.768
; "Time_ContextDestroy [ms]", 28.1309
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,float,2,3,625,343,0,0,2.14467,0.002202,6.14145,0.817659,0.395811,0.218653,0.711337,0.290146,8.57965,1.715e+06,1.715e+06
ClFFT,Inplace,Complex,float,2,3,625,343,0,1,2.14829,0.00237,6.10727,0.813721,0.40564,0.216287,0.711548,0.290454,8.54966,1.715e+06,1.715e+06
ClFFT,Inplace,Complex,float,2,3,625,343,0,2,2.1323,0.002269,6.12352,0.813634,0.394508,0.215955,0.707157,0.287698,8.54704,1.715e+06,1.715e+06
ClFFT,Inplace,Complex,float,2,3,625,343,0,3,2.14549,0.00228,6.13329,0.817402,0.38948,0.225612,0.711708,0.292113,8.57455,1.715e+06,1.715e+06
ClFFT,Inplace,Complex,float,2,3,625,343,0,4,2.13827,0.002554,5.84234,0.821697,0.388647,0.217551,0.709192,0.290551,8.27505,1.715e+06,1.715e+06
ClFFT,Inplace,Complex,float,2,3,729,2187,0,0,12.9609,0.002238,14.5568,4.42478,2.44219,2.04376,4.04901,0.329891,27.851,1.27546e+07,1.27546e+07
ClFFT,Inplace,Complex,float,2,3,729,2187,0,1,12.925,0.002611,14.727,4.41711,2.39971,2.02683,4.08011,0.338204,27.9939,1.27546e+07,1.27546e+07
ClFFT,Inplace,Complex,float,2,3,729,2187,0,2,13.0143,0.002198,14.5874,4.44223,2.47574,2.03592,4.05918,0.318007,27.923,1.27546e+07,1.27546e+07
ClFFT,Inplace,Complex,float,2,3,729,2187,0,3,13.0113,0.002354,14.6348,4.43765,2.45666,2.03703,4.0788,0.335685,27.9853,1.27546e+07,1.27546e+07
ClFFT,Inplace,Complex,float,2,3,729,2187,0,4,13.0425,0.007123,14.6554,4.42894,2.51164,2.04488,4.0558,0.320668,28.0269,1.27546e+07,1.27546e+07
ClFFT,Inplace,Complex,float,2,3,2187,2401,0,0,50.6964,0.002265,31.4888,14.6559,11.5911,10.9032,13.5449,0.389181,82.578,4.20079e+07,4.20079e+07
ClFFT,Inplace,Complex,float,2,3,2187,2401,0,1,50.4697,0.002368,31.0153,14.4467,11.622,10.8927,13.507,0.3758,81.8644,4.20079e+07,4.20079e+07
ClFFT,Inplace,Complex,float,2,3,2187,2401,0,2,50.5332,0.002836,31.6635,14.4726,11.6739,10.8848,13.5006,0.361564,82.5624,4.20079e+07,4.20079e+07
ClFFT,Inplace,Complex,float,2,3,2187,2401,0,3,50.4632,0.002213,31.75,14.4362,11.6108,10.8788,13.5362,0.372111,82.5887,4.20079e+07,4.20079e+07
ClFFT,Inplace,Complex,float,2,3,2187,2401,0,4,50.5107,0.002303,31.845,14.4619,11.6282,10.8927,13.5264,0.367243,82.7265,4.20079e+07,4.20079e+07
ClFFT,Inplace,Complex,float,2,3,3125,6561,0,0,202.261,0.002225,21.745,54.9019,46.3651,46.3182,54.6744,0.435642,224.445,1.64025e+08,1.64025e+08
ClFFT,Inplace,Complex,float,2,3,3125,6561,0,1,202.427,0.002351,22.1807,55.0937,46.3997,46.2972,54.6354,0.424666,225.036,1.64025e+08,1.64025e+08
ClFFT,Inplace,Complex,float,2,3,3125,6561,0,2,202.351,0.002321,22.3237,54.8947,46.4616,46.3539,54.6391,0.421604,225.099,1.64025e+08,1.64025e+08
ClFFT,Inplace,Complex,float,2,3,3125,6561,0,3,202.324,0.002276,21.9902,54.9154,46.497,46.3,54.61,0.433239,224.751,1.64025e+08,1.64025e+08
ClFFT,Inplace,Complex,float,2,3,3125,6561,0,4,203.092,0.002419,22.3136,55.3527,46.2327,46.3484,55.1568,0.43532,225.844,1.64025e+08,1.64025e+08
ClFFT,Inplace,Complex,float,3,3,125,125,125,0,10.7506,0.002328,3.43205,5.44052,0.337095,0.069674,4.90217,0.227533,14.414,1.5625e+07,125000
ClFFT,Inplace,Complex,float,3,3,125,125,125,1,10.7359,0.002236,3.42017,5.42981,0.344716,0.068977,4.89111,0.226485,14.3862,1.5625e+07,125000
ClFFT,Inplace,Complex,float,3,3,125,125,125,2,10.662,0.002283,3.412,5.38587,0.31849,0.068933,4.88749,0.237475,14.315,1.5625e+07,125000
ClFFT,Inplace,Complex,float,3,3,125,125,125,3,10.7239,0.002411,3.42085,5.37902,0.387654,0.070453,4.88565,0.226591,14.3751,1.5625e+07,125000
ClFFT,Inplace,Complex,float,3,3,125,125,125,4,10.6916,0.002152,3.40748,5.39175,0.303105,0.068247,4.92736,0.242734,14.3452,1.5625e+07,125000
ClFFT,Inplace,Complex,float,3,3,125,243,128,0,20.779,0.002534,4.52775,10.7243,0.382553,0.075225,9.59545,0.328423,25.639,3.1104e+07,128000
ClFFT,Inplace,Complex,float,3,3,125,243,128,1,20.8282,0.002703,4.69479,10.7462,0.403901,0.073489,9.60319,0.32527,25.8522,3.1104e+07,128000
ClFFT,Inplace,Complex,float,3,3,125,243,128,2,20.9675,0.002563,4.69989,10.7471,0.435177,0.07172,9.71232,0.27819,25.9493,3.1104e+07,128000
ClFFT,Inplace,Complex,float,3,3,125,243,128,3,20.773,0.002588,4.42433,10.706,0.382999,0.071316,9.61161,0.324056,25.5253,3.1104e+07,128000
